own-001	Ownership	Choice	Who holds the copyright for this software?
own-002	Ownership	Boolean	Are there multiple copyright holders?
own-003	Ownership	Boolean	Can ownership of this software be transferred?
own-004	Ownership	Boolean	Are there existing ownership claims or liens on this software?
own-005	Ownership	Boolean	Is this a work made for hire?
copy-001	Copyright	Boolean	Does this license explicitly address copyright?
copy-002	Copyright	Text	What copyright notice format should be used?
copy-003	Copyright	Boolean	Must copyright registration be obtained?
copy-004	Copyright	Choice	Can copyright be waived or dedicated to the public domain?
copy-005	Copyright	Choice	How long should the copyright protection period be?
com-001	CommercialUse	Choice	Is commercial use of this software permitted?
com-002	CommercialUse	Boolean	Does commercial use require a separate license?
com-003	CommercialUse	Number	What revenue threshold triggers commercial license requirements?
com-004	CommercialUse	MultiChoice	What commercial use restrictions apply?
com-005	CommercialUse	Boolean	Should a dual-licensing model be offered?
res-001	Research	Boolean	Is use in academic or scientific research permitted?
res-002	Research	Boolean	Are research results built with this software required to be shared openly?
res-003	Research	Boolean	Do research institutions receive special license terms?
res-004	Research	Choice	What are the publication requirements when using this software in research?
acad-001	Academic	Boolean	Is use in academic coursework and teaching permitted?
acad-002	Academic	Choice	What academic license terms should apply?
acad-003	Academic	Boolean	Can students use this software in personal projects?
acad-004	Academic	Boolean	Are academic institutions required to include the license in course materials?
pat-001	PatentGrant	Boolean	Does this license include an express patent grant?
pat-002	PatentGrant	Choice	What is the scope of the patent grant?
pat-003	PatentGrant	MultiChoice	What conditions attach to the patent grant?
pat-004	PatentGrant	Boolean	Does the license include a patent retaliation clause?
ptr-001	PatentRetaliation	Boolean	Should the patent retaliation clause be included?
ptr-002	PatentRetaliation	MultiChoice	What triggers the patent retaliation clause?
ptr-003	PatentRetaliation	Choice	What is the scope of the patent retaliation?
ptr-004	PatentRetaliation	Boolean	Is there a defensive termination provision?
tm-001	Trademark	Boolean	Can the software name and trademarks be used by licensees?
tm-002	Trademark	MultiChoice	What trademark usage restrictions apply?
tm-003	Trademark	Boolean	Are trademarks licensed separately from the copyright?
tm-004	Trademark	Text	What are the trademark attribution requirements?
src-001	SourceDisclosure	Choice	Must source code be disclosed when distributing the software?
src-002	SourceDisclosure	MultiChoice	What triggers source code disclosure obligations?
src-003	SourceDisclosure	Choice	What is the timeline for source code disclosure?
src-004	SourceDisclosure	Choice	Where must disclosed source code be hosted?
slink-001	StaticLinking	Boolean	Is static linking to this software permitted?
slink-002	StaticLinking	Boolean	Does static linking create a derivative work?
slink-003	StaticLinking	Choice	What license propagation requirements apply for static linking?
slink-004	StaticLinking	Boolean	Is object code disclosure required for statically linked works?
dlink-001	DynamicLinking	Boolean	Is dynamic linking to this software permitted?
dlink-002	DynamicLinking	Boolean	Does dynamic linking create a derivative work?
dlink-003	DynamicLinking	Choice	What license obligations apply to dynamically linked code?
dlink-004	DynamicLinking	Boolean	Is API/interface stability guaranteed for dynamic linking?
net-001	NetworkUse	Boolean	Does providing the software over a network constitute distribution?
net-002	NetworkUse	MultiChoice	What network use restrictions apply?
net-003	NetworkUse	Choice	How are API interactions classified?
net-004	NetworkUse	Boolean	Is network interaction logging required?
dist-001	Distribution	Boolean	Is binary distribution of the software permitted?
dist-002	Distribution	MultiChoice	What conditions apply to distribution?
dist-003	Distribution	Boolean	Must the license be included in all distributions?
dist-004	Distribution	MultiChoice	Are there restrictions on distribution media?
mod-001	Modification	Boolean	Is modification of the software allowed?
mod-002	Modification	Boolean	Must modifications to the software be disclosed?
mod-003	Modification	Choice	What naming requirements apply to modified versions?
mod-004	Modification	Boolean	Are modifications subject to review or approval?
priv-001	PrivateUse	Boolean	Is private use of the software permitted without restrictions?
priv-002	PrivateUse	Boolean	Does private use include internal business use?
priv-003	PrivateUse	Choice	Are there sharing limitations on private use?
priv-004	PrivateUse	Choice	What are the private modification requirements?
gov-001	Government	Boolean	Is use by government agencies permitted?
gov-002	Government	Choice	What license terms apply to government agencies?
gov-003	Government	MultiChoice	Are there restrictions on government use?
gov-004	Government	Boolean	Must the software comply with government procurement standards?
mil-001	Military	Boolean	Is use by military organizations permitted?
mil-002	Military	MultiChoice	Which military branches are subject to restrictions?
mil-003	Military	Boolean	Is use by defense contractors permitted?
mil-004	Military	MultiChoice	What military application restrictions apply?
ai-001	AiTraining	Choice	Is use of this software for AI/ML model training permitted?
ai-002	AiTraining	MultiChoice	What data requirements apply to AI training?
ai-003	AiTraining	Choice	How should AI model outputs be licensed?
ai-004	AiTraining	Boolean	Is training data attribution required for AI models?
aiinf-001	AiInference	Boolean	Is use of AI models trained on this software permitted for inference?
aiinf-002	AiInference	MultiChoice	Are there restrictions on inference outputs?
aiinf-003	AiInference	Boolean	Must inference usage be reported?
aiinf-004	AiInference	Choice	Is commercial inference licensing required?
mw-001	ModelWeights	Boolean	Are model weights included in the license scope?
mw-002	ModelWeights	Choice	What are the model weight distribution terms?
mw-003	ModelWeights	Choice	How should fine-tuned model weights be licensed?
mw-004	ModelWeights	Boolean	Are model weight modifications permitted?
ds-001	DatasetUsage	Boolean	Is dataset usage covered by this license?
ds-002	DatasetUsage	Choice	What are the dataset redistribution terms?
ds-003	DatasetUsage	Boolean	Are dataset derivative works allowed?
ds-004	DatasetUsage	Text	What dataset attribution requirements apply?
redist-001	Redistribution	Boolean	Is redistribution of the original software allowed?
redist-002	Redistribution	MultiChoice	What conditions apply to redistribution?
redist-003	Redistribution	Boolean	Can the software be redistributed in combination with other software?
redist-004	Redistribution	MultiChoice	Are there redistributor obligations beyond the license text?
resale-001	Resale	Choice	Is resale of the software permitted?
resale-002	Resale	Choice	Are there resale pricing restrictions?
resale-003	Resale	Number	Is revenue sharing required on resale?
resale-004	Resale	Boolean	Must resale activities be reported to the licensor?
host-001	Hosting	Boolean	Is hosting of the software for third parties permitted?
host-002	Hosting	MultiChoice	Are there hosting service restrictions?
host-003	Hosting	Boolean	Does hosting require a separate license?
host-004	Hosting	Boolean	Must hosting providers offer SLA guarantees?
cloud-001	Cloud	Boolean	Is cloud deployment of the software permitted?
cloud-002	Cloud	MultiChoice	Are there cloud provider restrictions?
cloud-003	Cloud	Boolean	Is cloud usage metering required?
cloud-004	Cloud	Choice	How should multi-tenant cloud deployments be licensed?
saas-001	Saas	Choice	Is SaaS deployment of the software permitted?
saas-002	Saas	Number	Is revenue sharing required for SaaS deployments?
saas-003	Saas	Number	Are there user count limitations for SaaS deployments?
saas-004	Saas	Boolean	Must SaaS providers display specific branding?
paas-001	Paas	Boolean	Is PaaS deployment of the software permitted?
paas-002	Paas	MultiChoice	Are there PaaS integration restrictions?
paas-003	Paas	Choice	What PaaS licensing model should be used?
paas-004	Paas	Text	What data handling requirements apply to PaaS deployments?
cont-001	Containers	Boolean	Is containerization of the software permitted?
cont-002	Containers	Choice	Can container images be redistributed?
cont-003	Containers	MultiChoice	Are there base image restrictions for containers?
cont-004	Containers	Text	What orchestration platform terms apply?
oem-001	Oem	Choice	Is OEM bundling of the software permitted?
oem-002	Oem	Number	Are there OEM license fees?
oem-003	Oem	MultiChoice	What OEM branding requirements apply?
